KundeNr,Niederlassung
K0203,Brandenburg
K0206,Baden-Württemberg
K0207,Baden-Württemberg
K0208,Niedersachsen
K0209,Bayern
K0210,Baden-Württemberg
K0211,Sachsen
K0212,Bayern
K0213,Sachsen
K0214,Niedersachsen
K0216,Bayern
K0217,Bayern
K0218,Hamburg
K0219,Baden-Württemberg
K0220,Bayern
K0221,Bayern
K0222,Baden-Württemberg
K0223,Bayern
K0225,Baden-Württemberg
K0226,Baden-Württemberg
K0227,Hessen
K0228,Thüringen
K0229,Bayern
K0230,Baden-Württemberg
K0231,Hessen
K0232,Sachsen
K0234,Hessen
K0235,Bayern
K0236,Hamburg
K0237,Baden-Württemberg
K0238,Niedersachsen
K0240,Thüringen
K0241,Bayern
K0242,Baden-Württemberg
K0243,Hamburg
K0244,Niedersachsen
K0246,Baden-Württemberg
K0247,Bayern
K0248,Hamburg
K0249,Bayern
K0253,Hessen
K0255,Bayern
K0257,Bayern
K0258,Hamburg
K0259,Bayern
K0261,Bayern
K0262,Bayern
K0263,Thüringen
K0264,Baden-Württemberg
K0266,Thüringen
K0267,Baden-Württemberg
K0268,Niedersachsen
K0269,Bayern
K0270,Baden-Württemberg
K0272,Sachsen
K0273,Baden-Württemberg
K0274,Hessen
K0275,Brandenburg
K0277,Baden-Württemberg
K0278,Niedersachsen
K0279,Niedersachsen
K0280,Niedersachsen
K0281,Sachsen
K0283,Baden-Württemberg
K0286,Bayern
K0290,Thüringen
K0291,Baden-Württemberg
K0292,Sachsen
K0293,Brandenburg
K0294,Hessen
K0296,Bayern
K0300,Sachsen
K0302,Baden-Württemberg
K0303,Baden-Württemberg
K0305,Baden-Württemberg
K0306,Hessen
K0307,Baden-Württemberg
K0308,Hamburg
K0309,Baden-Württemberg
K0310,Bayern
K0311,Niedersachsen
K0312,Brandenburg
K0313,Thüringen
K0315,Bayern
K0316,Baden-Württemberg
K0318,Sachsen
K0320,Baden-Württemberg
K0321,Thüringen
K0322,Bayern
K0324,Sachsen
K0325,Bayern
K0326,Sachsen
K0327,Bayern
K0328,Thüringen
K0329,Bayern
K0330,Thüringen
K0331,Baden-Württemberg
K0332,Niedersachsen
K0333,Hamburg
K0335,Bayern
K0336,Niedersachsen
K0337,Baden-Württemberg
K0338,Hessen
K0339,Bayern
K0340,Thüringen
K0341,Baden-Württemberg
K0342,Baden-Württemberg
K0343,Bayern
K0345,Bayern
K0346,Brandenburg
K0348,Niedersachsen
K0349,Hessen
K0350,Baden-Württemberg
K0351,Niedersachsen
K0352,Baden-Württemberg
K0354,Bayern
K0356,Bayern
K0358,Baden-Württemberg
K0359,Hessen
K0360,Baden-Württemberg
K0361,Niedersachsen
K0362,Sachsen
K0364,Brandenburg
K0365,Sachsen
K0366,Hamburg
K0367,Brandenburg
K0368,Hessen
K0369,Niedersachsen
K0370,Baden-Württemberg
K0373,Baden-Württemberg
K0376,Baden-Württemberg
K0377,Niedersachsen
K0378,Sachsen
K0379,Sachsen
K0380,Thüringen
K0382,Baden-Württemberg
K0385,Bayern
K0386,Hessen
K0387,Hessen
K0388,Bayern
K0389,Sachsen
K0390,Brandenburg
K0392,Thüringen
K0393,Brandenburg
K0394,Baden-Württemberg
K0395,Hamburg
K0399,Niedersachsen
K0400,Bayern
K0402,Sachsen
K0403,Baden-Württemberg
K0404,Baden-Württemberg
K0405,Thüringen
K0407,Sachsen
K0408,Sachsen
K0409,Hamburg
K0410,Niedersachsen
K0411,Hamburg
K0412,Baden-Württemberg
K0414,Brandenburg
K0415,Niedersachsen
K0416,Brandenburg
K0417,Brandenburg
K0418,Baden-Württemberg
K0419,Bayern
K0420,Baden-Württemberg
K0421,Baden-Württemberg
K0422,Thüringen
K0423,Baden-Württemberg
K0424,Bayern
K0425,Hessen
K0426,Hessen
K0427,Baden-Württemberg
K0430,Bayern
K0431,Bayern
K0432,Sachsen
K0434,Niedersachsen
K0435,Baden-Württemberg
K0437,Hessen
K0438,Baden-Württemberg
K0440,Hessen
K0441,Bayern
K0444,Bayern
K0446,Baden-Württemberg
K0448,Baden-Württemberg
K0449,Baden-Württemberg
K0450,Niedersachsen
K0452,Sachsen
K0453,Bayern
K0454,Bayern
K0455,Brandenburg
K0457,Bayern
K0458,Niedersachsen
K0461,Thüringen
K0462,Bayern
K0463,Niedersachsen
K0465,Niedersachsen
K0467,Thüringen
K0469,Thüringen
K0471,Sachsen
K0474,Bayern
K0476,Baden-Württemberg
K0477,Hamburg
K0478,Brandenburg
K0479,Hamburg
K0480,Thüringen
K0481,Sachsen
K0482,Baden-Württemberg
K0483,Bayern
K0485,Bayern
K0487,Hamburg
K0488,Hessen
K0491,Baden-Württemberg
K0492,Niedersachsen
K0494,Bayern
K0495,Baden-Württemberg
K0496,Brandenburg
K0497,Bayern
K0498,Bayern
K0499,Niedersachsen
K0501,Bayern
K0502,Baden-Württemberg
K0504,Baden-Württemberg
K0505,Sachsen
K0506,Hessen
K0507,Bayern
K0508,Bayern
K0509,Baden-Württemberg
K0510,Bayern
K0511,Baden-Württemberg
K0512,Hessen
K0513,Baden-Württemberg
K0514,Hamburg
K0515,Hessen
K0516,Bayern
K0517,Baden-Württemberg
K0518,Baden-Württemberg
K0519,Baden-Württemberg
K0521,Bayern
K0525,Hamburg
K0526,Niedersachsen
K0527,Bayern
K0528,Baden-Württemberg
K0529,Hessen
K0530,Bayern
K0532,Niedersachsen
K0533,Brandenburg
K0534,Hessen
K0535,Hamburg
K0537,Niedersachsen
K0538,Hamburg
K0539,Niedersachsen
K0544,Hessen
K0545,Baden-Württemberg
K0546,Sachsen
K0547,Baden-Württemberg
K0550,Thüringen
K0551,Baden-Württemberg
K0552,Hessen
K0554,Bayern
K0555,Baden-Württemberg
K0556,Hessen
K0558,Baden-Württemberg
K0559,Hessen
K0562,Sachsen
K0564,Thüringen
K0566,Bayern
K0567,Baden-Württemberg
K0570,Hessen
K0571,Hessen
K0573,Brandenburg
K0574,Baden-Württemberg
K0576,Bayern
K0577,Thüringen
K0578,Baden-Württemberg
K0579,Thüringen
K0580,Baden-Württemberg
K0581,Bayern
K0582,Baden-Württemberg
K0583,Niedersachsen
K0586,Sachsen
K0587,Hessen
K0588,Niedersachsen
K0590,Bayern
K0591,Bayern
K0592,Sachsen
K0593,Sachsen
K0594,Thüringen
K0595,Sachsen
K0596,Baden-Württemberg
K0599,Thüringen
K0602,Hamburg
K0603,Bayern
K0604,Baden-Württemberg
K0605,Sachsen
K0607,Baden-Württemberg
K0609,Hessen
K0611,Bayern
K0613,Niedersachsen
K0614,Hamburg
K0615,Hessen
K0616,Baden-Württemberg
K0618,Baden-Württemberg
K0619,Bayern
K0620,Niedersachsen
K0621,Sachsen
K0623,Bayern
K0624,Niedersachsen
K0628,Hamburg
K0630,Baden-Württemberg
K0631,Bayern
K0633,Hamburg
K0634,Sachsen
K0636,Baden-Württemberg
K0637,Baden-Württemberg
K0638,Bayern
K0639,Bayern
K0640,Hessen
K0641,Sachsen
K0642,Thüringen
K0643,Niedersachsen
K0645,Hamburg
K0646,Bayern
K0647,Hamburg
K0648,Hessen
K0650,Bayern
K0651,Bayern
K0652,Bayern
K0653,Thüringen
K0657,Bayern
K0658,Hessen
K0659,Sachsen
K0661,Sachsen
K0662,Bayern
K0663,Baden-Württemberg
K0664,Sachsen
K0666,Thüringen
K0667,Niedersachsen
K0668,Sachsen
K0671,Hessen
K0673,Sachsen
K0675,Hamburg
K0680,Sachsen
K0682,Hessen
K0683,Baden-Württemberg
K0684,Baden-Württemberg
K0685,Bayern
K0686,Niedersachsen
K0687,Baden-Württemberg
K0688,Sachsen
K0689,Bayern
K0690,Bayern
K0691,Baden-Württemberg
K0692,Baden-Württemberg
K0695,Hessen
K0696,Baden-Württemberg
K0697,Bayern
K0699,Thüringen
K0700,Bayern
K0703,Bayern
K0705,Baden-Württemberg
K0707,Bayern
K0709,Baden-Württemberg
K0710,Thüringen
K0711,Baden-Württemberg
K0712,Sachsen
K0714,Thüringen
K0718,Baden-Württemberg
K0720,Baden-Württemberg
K0721,Thüringen
K0722,Baden-Württemberg
K0723,Hessen
K0724,Hessen
K0725,Hamburg
K0726,Niedersachsen
K0727,Baden-Württemberg
K0728,Hessen
K0729,Bayern
K0730,Sachsen
K0732,Thüringen
K0733,Baden-Württemberg
K0734,Bayern
K0735,Baden-Württemberg
K0736,Baden-Württemberg
K0737,Bayern
K0738,Niedersachsen
K0739,Bayern
K0740,Brandenburg
K0741,Sachsen
K0742,Niedersachsen
K0746,Baden-Württemberg
K0747,Niedersachsen
K0748,Bayern
K0751,Hessen
K0752,Bayern
K0753,Bayern
K0755,Brandenburg
K0756,Bayern
K0757,Baden-Württemberg
K0758,Baden-Württemberg
K0760,Bayern
K0761,Hamburg
K0763,Hessen
K0767,Baden-Württemberg
K0769,Hessen
K0770,Hessen
K0771,Niedersachsen
K0772,Baden-Württemberg
K0773,Niedersachsen
K0774,Baden-Württemberg
K0776,Bayern
K0777,Niedersachsen
K0778,Baden-Württemberg
K0780,Niedersachsen
K0781,Bayern
K0783,Niedersachsen
K0784,Hessen
K0785,Bayern
K0786,Brandenburg
K0787,Hessen
K0789,Niedersachsen
K0791,Bayern
K0792,Bayern
K0793,Baden-Württemberg
K0794,Bayern
K0797,Bayern
K0798,Thüringen
K0799,Brandenburg
K0800,Sachsen
K0801,Niedersachsen
K0803,Baden-Württemberg
K0804,Bayern
K0805,Baden-Württemberg
K0806,Niedersachsen
K0807,Bayern
K0809,Bayern
K0811,Baden-Württemberg
K0812,Baden-Württemberg
K0813,Bayern
K0815,Bayern
K0817,Baden-Württemberg
K0818,Bayern
K0820,Baden-Württemberg
K0821,Sachsen
K0822,Thüringen
K0823,Baden-Württemberg
K0824,Bayern
K0827,Hessen
K0828,Niedersachsen
K0830,Baden-Württemberg
K0832,Niedersachsen
K0833,Hessen
K0834,Sachsen
K0835,Niedersachsen
K0836,Bayern
K0838,Brandenburg
K0839,Baden-Württemberg
K0840,Thüringen
K0841,Baden-Württemberg
K0842,Niedersachsen
K0843,Brandenburg
K0844,Baden-Württemberg
K0845,Sachsen
K0847,Hamburg
K0848,Bayern
K0849,Baden-Württemberg
K0850,Bayern
K0851,Bayern
K0852,Brandenburg
K0853,Thüringen
K0854,Hessen
K0855,Sachsen
K0856,Niedersachsen
K0861,Bayern
K0862,Baden-Württemberg
K0864,Hessen
K0865,Sachsen
K0866,Sachsen
K0867,Baden-Württemberg
K0868,Brandenburg
K0870,Hessen
K0872,Bayern
K0873,Hessen
K0874,Niedersachsen
K0875,Baden-Württemberg
K0877,Hessen
K0878,Sachsen
K0879,Bayern
K0880,Baden-Württemberg
K0881,Brandenburg
K0882,Baden-Württemberg
K0883,Thüringen
K0884,Baden-Württemberg
K0886,Hamburg
K0887,Bayern
K0888,Baden-Württemberg
K0889,Hessen
K0890,Hessen
K0891,Bayern
K0892,Sachsen
K0893,Bayern
K0895,Hamburg
K0896,Baden-Württemberg
K0897,Sachsen
K0899,Baden-Württemberg
K0901,Hessen
K0902,Hamburg
K0903,Niedersachsen
K0904,Baden-Württemberg
K0905,Bayern
K0907,Baden-Württemberg
K0909,Baden-Württemberg
K0911,Bayern
K0912,Hessen
K0913,Baden-Württemberg
K0914,Baden-Württemberg
K0915,Bayern
K0916,Baden-Württemberg
K0917,Bayern
K0918,Hamburg
K0919,Hessen
K0921,Niedersachsen
K0922,Hessen
K0927,Bayern
K0928,Baden-Württemberg
K0929,Niedersachsen
K0930,Bayern
K0931,Sachsen
K0933,Baden-Württemberg
K0934,Baden-Württemberg
K0935,Brandenburg
K0936,Hessen
K0937,Bayern
K0938,Niedersachsen
K0939,Hessen
K0940,Bayern
K0941,Baden-Württemberg
K0943,Bayern
K0946,Hessen
K0950,Bayern
K0953,Baden-Württemberg
K0954,Sachsen
K0955,Baden-Württemberg
K0956,Baden-Württemberg
K0957,Baden-Württemberg
K0958,Hessen
K0959,Niedersachsen
K0960,Bayern
K0961,Bayern
K0962,Bayern
K0963,Niedersachsen
K0964,Baden-Württemberg
K0965,Sachsen
K0966,Bayern
K0967,Thüringen
K0968,Baden-Württemberg
K0970,Bayern
K0971,Baden-Württemberg
K0975,Niedersachsen
K0976,Hessen
K0978,Bayern
K0979,Hamburg
K0980,Brandenburg
K0981,Bayern
K0982,Sachsen
K0983,Baden-Württemberg
K0984,Baden-Württemberg
K0985,Hessen
K0986,Niedersachsen
K0987,Baden-Württemberg
K0989,Sachsen
K0990,Bayern
K0991,Niedersachsen
K0994,Sachsen
K0997,Hessen
K0998,Niedersachsen
K0999,Hessen
K1001,Bayern
K1002,Bayern
K1003,Bayern
K1004,Baden-Württemberg
K1005,Baden-Württemberg
K1007,Niedersachsen
K1008,Niedersachsen
K1009,Hessen
K1011,Brandenburg
K1013,Bayern
K1014,Sachsen
K1015,Niedersachsen
K1016,Bayern
K1017,Hessen
K1018,Hamburg
K1019,Baden-Württemberg
K1020,Hessen
K1021,Bayern
K1022,Baden-Württemberg
K1023,Sachsen
K1024,Niedersachsen
K1026,Niedersachsen
K1027,Bayern
K1028,Hamburg
K1029,Niedersachsen
K1030,Thüringen
K1031,Bayern
K1033,Sachsen
K1034,Niedersachsen
K1035,Sachsen
K1037,Thüringen
K1038,Niedersachsen
K1039,Baden-Württemberg
K1040,Sachsen
K1041,Brandenburg
K1043,Hessen
K1044,Baden-Württemberg
K1047,Baden-Württemberg
K1048,Bayern
K1049,Baden-Württemberg
K1053,Sachsen
K1054,Hessen
K1055,Bayern
K1056,Sachsen
K1058,Hessen
K1059,Niedersachsen
K1060,Sachsen
K1061,Niedersachsen
K1062,Bayern
K1063,Niedersachsen
K1064,Baden-Württemberg
K1067,Baden-Württemberg
K1068,Baden-Württemberg
K1069,Baden-Württemberg
K1070,Niedersachsen
K1072,Thüringen
K1073,Bayern
K1074,Hessen
K1075,Sachsen
K1076,Baden-Württemberg
K1077,Niedersachsen
K1079,Baden-Württemberg
K1082,Baden-Württemberg
K1083,Baden-Württemberg
K1084,Baden-Württemberg
K1085,Bayern
K1086,Brandenburg
K1087,Hamburg
K1088,Bayern
K1089,Sachsen
K1090,Bayern
K1091,Baden-Württemberg
K1092,Bayern
K1093,Hamburg
K1095,Bayern
K1096,Baden-Württemberg
K1098,Thüringen
K1099,Bayern
K1101,Hessen
K1102,Niedersachsen
K1104,Sachsen
K1105,Hessen
K1107,Niedersachsen
K1108,Thüringen
K1110,Baden-Württemberg
K1111,Bayern
K1113,Bayern
K1114,Niedersachsen
K1117,Thüringen
K1118,Bayern
K1121,Bayern
K1123,Baden-Württemberg
K1125,Hamburg
K1126,Bayern
K1127,Niedersachsen
K1128,Niedersachsen
K1129,Bayern
K1130,Baden-Württemberg
K1132,Hessen
K1134,Sachsen
K1135,Hamburg
K1139,Bayern
K1141,Niedersachsen
K1142,Baden-Württemberg
K1149,Bayern
K1150,Bayern
K1151,Niedersachsen
K1152,Hessen
K1153,Baden-Württemberg
K1154,Bayern
K1155,Sachsen
K1156,Niedersachsen
K1157,Thüringen
K1159,Sachsen
K1160,Bayern
K1162,Baden-Württemberg
K1163,Niedersachsen
K1165,Bayern
K1168,Baden-Württemberg
K1169,Hessen
K1170,Bayern
K1173,Bayern
K1174,Sachsen
K1175,Baden-Württemberg
K1176,Niedersachsen
K1177,Niedersachsen
K1178,Bayern
K1179,Bayern
K1182,Bayern
K1183,Hamburg
K1184,Baden-Württemberg
K1185,Bayern
K1186,Brandenburg
K1187,Baden-Württemberg
K1189,Niedersachsen
K1190,Sachsen
K1191,Niedersachsen
K1192,Sachsen
K1193,Hessen
K1194,Hessen
K1195,Thüringen
K1196,Niedersachsen
K1197,Baden-Württemberg
K1199,Sachsen
K1201,Hessen
K1202,Niedersachsen
K1203,Thüringen
K1204,Baden-Württemberg
K1205,Niedersachsen
K1206,Bayern
K1207,Niedersachsen
K1208,Hessen
K1209,Baden-Württemberg
K1210,Bayern
K1211,Hessen
K1212,Baden-Württemberg
K1213,Bayern
K1215,Bayern
K1216,Brandenburg
K1217,Sachsen
K1218,Bayern
K1220,Hessen
K1222,Sachsen
K1223,Sachsen
K1225,Bayern
K1226,Baden-Württemberg
K1228,Baden-Württemberg
K1229,Niedersachsen
K1230,Niedersachsen
K1231,Baden-Württemberg
K1233,Bayern
K1235,Niedersachsen
K1238,Baden-Württemberg
K1241,Sachsen
K1244,Niedersachsen
K1245,Sachsen
K1246,Bayern
K1249,Hessen
K1250,Baden-Württemberg
K1251,Hessen
K1252,Baden-Württemberg
K1253,Hamburg
K1254,Hamburg
K1257,Bayern
K1258,Bayern
K1260,Baden-Württemberg
K1262,Baden-Württemberg
K1265,Bayern
K1266,Bayern
K1268,Hessen
K1269,Niedersachsen
K1270,Sachsen
K1271,Sachsen
K1272,Bayern
K1273,Thüringen
K1274,Baden-Württemberg
K1276,Sachsen
K1277,Bayern
K1278,Bayern
K1279,Bayern
K1280,Hessen
K1283,Sachsen
K1284,Niedersachsen
K1285,Bayern
K1286,Sachsen
K1287,Bayern
K1288,Baden-Württemberg
K1289,Baden-Württemberg
K1290,Hessen
K1291,Baden-Württemberg
K1292,Baden-Württemberg
K1293,Bayern
K1294,Bayern
K1295,Hessen
K1298,Bayern
K1299,Bayern
K1300,Thüringen
K1301,Baden-Württemberg
K1303,Baden-Württemberg
K1304,Sachsen
K1305,Bayern
K1307,Niedersachsen
K1308,Hessen
K1309,Bayern
K1310,Hessen
K1312,Baden-Württemberg
K1313,Baden-Württemberg
K1315,Baden-Württemberg
K1316,Niedersachsen
K1317,Bayern
K1319,Baden-Württemberg
K1320,Hamburg
K1321,Baden-Württemberg
K1322,Baden-Württemberg
K1323,Baden-Württemberg
K1324,Thüringen
K1325,Baden-Württemberg
K1326,Niedersachsen
K1327,Baden-Württemberg
K1328,Baden-Württemberg
K1329,Brandenburg
K1331,Thüringen
K1332,Sachsen
K1334,Hessen
K1336,Bayern
K1337,Sachsen
K1338,Hessen
K1339,Hessen
K1340,Bayern
K1341,Baden-Württemberg
K1342,Sachsen
K1343,Bayern
K1345,Baden-Württemberg
K1347,Baden-Württemberg
K1349,Baden-Württemberg
K1350,Sachsen
K1352,Baden-Württemberg
K1353,Hessen
K1354,Bayern
K1355,Baden-Württemberg
K1359,Baden-Württemberg
K1362,Bayern
K1363,Thüringen
K1364,Sachsen
K1365,Baden-Württemberg
K1366,Baden-Württemberg
K1369,Baden-Württemberg
K1370,Bayern
K1371,Hessen
K1373,Baden-Württemberg
K1374,Baden-Württemberg
K1375,Sachsen
K1377,Hessen
K1382,Bayern
K1385,Thüringen
K1386,Bayern
K1387,Sachsen
K1388,Sachsen
K1389,Bayern
K1392,Sachsen
K1396,Bayern
K1397,Baden-Württemberg
K1400,Hessen
K1401,Niedersachsen
K1402,Bayern
K1403,Brandenburg
K1404,Baden-Württemberg
K1406,Thüringen
K1408,Baden-Württemberg
K1409,Baden-Württemberg
K1410,Niedersachsen
K1411,Hessen
K1413,Bayern
K1415,Niedersachsen
K1416,Bayern
K1417,Hamburg
K1418,Baden-Württemberg
K1420,Sachsen
K1423,Hessen
K1424,Baden-Württemberg
K1425,Hessen
K1426,Brandenburg
K1428,Baden-Württemberg
K1430,Baden-Württemberg
K1431,Baden-Württemberg
K1433,Bayern
K1434,Sachsen
K1437,Hamburg
K1438,Niedersachsen
K1439,Bayern
K1440,Sachsen
K1441,Hamburg
K1443,Bayern
K1444,Baden-Württemberg
K1445,Niedersachsen
K1446,Baden-Württemberg
K1448,Baden-Württemberg
K1449,Hessen
K1450,Thüringen
K1453,Brandenburg
K1454,Brandenburg
K1455,Sachsen
K1456,Sachsen
K1458,Bayern
K1459,Hamburg
K1460,Bayern
K1462,Brandenburg
K1464,Sachsen
K1466,Baden-Württemberg
K1468,Baden-Württemberg
K1469,Hessen
K1470,Baden-Württemberg
K1472,Thüringen
K1473,Baden-Württemberg
K1475,Bayern
K1476,Sachsen
K1478,Bayern
K1479,Baden-Württemberg
K1480,Hessen
K1481,Bayern
K1482,Niedersachsen
K1483,Baden-Württemberg
K1484,Baden-Württemberg
K1485,Niedersachsen
K1486,Bayern
K1488,Baden-Württemberg
K1489,Bayern
K1490,Thüringen
K1492,Niedersachsen
K1493,Baden-Württemberg
K1494,Hessen
K1496,Bayern
K1498,Hessen
K1500,Hessen
K1501,Hessen
K1502,Baden-Württemberg
K1504,Bayern
K1507,Brandenburg
K1508,Sachsen
K1509,Bayern
K1512,Hamburg
K1513,Hamburg
K1514,Baden-Württemberg
K1516,Bayern
K1517,Thüringen
K1518,Bayern
K1519,Sachsen
K1520,Niedersachsen
K1521,Bayern
K1522,Hamburg
K1524,Sachsen
K1525,Baden-Württemberg
K1526,Bayern
K1527,Bayern
K1528,Baden-Württemberg
K1529,Hessen
K1533,Hessen
K1535,Baden-Württemberg
K1536,Niedersachsen
K1538,Niedersachsen
K1539,Baden-Württemberg
K1540,Bayern
K1541,Baden-Württemberg
K1542,Hessen
K1544,Baden-Württemberg
K1546,Hessen
K1547,Niedersachsen
K1548,Thüringen
K1549,Baden-Württemberg
K1550,Sachsen
K1551,Baden-Württemberg
K1554,Sachsen
K1555,Brandenburg
K1556,Hessen
K1557,Niedersachsen
K1559,Baden-Württemberg
K1561,Brandenburg
K1564,Brandenburg
K1565,Sachsen
K1566,Hamburg
K1567,Thüringen
K1568,Baden-Württemberg
K1571,Niedersachsen
K1572,Hessen
K1573,Hessen
K1576,Baden-Württemberg
K1579,Bayern
K1583,Bayern
K1584,Baden-Württemberg
K1585,Brandenburg
K1586,Baden-Württemberg
K1588,Bayern
K1590,Baden-Württemberg
K1591,Bayern
K1593,Baden-Württemberg
K1594,Niedersachsen
K1595,Sachsen
K1596,Niedersachsen
K1598,Baden-Württemberg
K1599,Bayern
K1600,Sachsen
K1601,Niedersachsen
K1602,Niedersachsen
K1603,Niedersachsen
K1605,Baden-Württemberg
K1607,Niedersachsen
K1610,Bayern
K1611,Bayern
K1614,Hamburg
K1615,Baden-Württemberg
K1616,Bayern
K1617,Niedersachsen
K1620,Sachsen
K1624,Bayern
K1625,Baden-Württemberg
K1626,Baden-Württemberg
K1628,Sachsen
K1629,Bayern
K1630,Bayern
K1631,Thüringen
K1632,Baden-Württemberg
K1634,Bayern
K1635,Baden-Württemberg
K1636,Sachsen
K1637,Baden-Württemberg
K1638,Hessen
K1639,Bayern
K1640,Baden-Württemberg
K1641,Baden-Württemberg
K1642,Baden-Württemberg
K1643,Baden-Württemberg
K1645,Brandenburg
K1646,Bayern
K1648,Sachsen
K1649,Sachsen
K1650,Niedersachsen
K1651,Sachsen
K1652,Bayern
K1654,Hessen
K1655,Hessen
K1656,Brandenburg
K1658,Thüringen
K1662,Bayern
K1663,Baden-Württemberg
K1664,Bayern
K1666,Baden-Württemberg
K1668,Bayern
K1669,Hessen
K1670,Baden-Württemberg
K1671,Baden-Württemberg
K1672,Sachsen
K1673,Hessen
K1674,Thüringen
K1675,Thüringen
K1677,Bayern
K1679,Thüringen
K1680,Hessen
K1683,Bayern
K1684,Hessen
K1686,Niedersachsen
K1687,Baden-Württemberg
K1688,Bayern
K1689,Baden-Württemberg
K1690,Bayern
K1691,Sachsen
K1692,Baden-Württemberg
K1693,Bayern
K1694,Bayern
K1695,Hessen
K1696,Hamburg
K1697,Bayern
K1698,Baden-Württemberg
K1699,Bayern
K1700,Brandenburg
K1701,Bayern
K1702,Sachsen
K1704,Baden-Württemberg
K1706,Bayern
K1707,Niedersachsen
K1708,Bayern
K1709,Hessen
K1711,Sachsen
K1712,Bayern
K1713,Bayern
K1715,Sachsen
K1716,Sachsen
K1717,Baden-Württemberg
K1718,Baden-Württemberg
K1719,Brandenburg
K1720,Baden-Württemberg
K1721,Bayern
K1722,Baden-Württemberg
K1723,Niedersachsen
K1724,Sachsen
K1725,Thüringen
K1727,Hessen
K1729,Baden-Württemberg
K1730,Niedersachsen
K1732,Bayern
K1734,Baden-Württemberg
K1735,Niedersachsen
K1736,Bayern
K1737,Bayern
K1738,Baden-Württemberg
K1740,Brandenburg
K1741,Hessen
K1742,Hessen
K1744,Baden-Württemberg
K1746,Baden-Württemberg
K1747,Baden-Württemberg
K1748,Niedersachsen
K1749,Bayern
K1750,Bayern
K1753,Niedersachsen
K1754,Hessen
K1755,Niedersachsen
K1756,Niedersachsen
K1757,Bayern
K1758,Bayern
K1760,Bayern
K1761,Thüringen
K1763,Baden-Württemberg
K1764,Baden-Württemberg
K1765,Baden-Württemberg
K1766,Bayern
K1767,Baden-Württemberg
K1768,Hamburg
K1771,Bayern
K1773,Brandenburg
K1776,Sachsen
K1777,Brandenburg
K1778,Niedersachsen
