KundeNr;Niederlassung
K0795;Nordrhein-Westfalen
K0796;Nordrhein-Westfalen
K0802;Nordrhein-Westfalen
K0808;Nordrhein-Westfalen
K0810;Nordrhein-Westfalen
K0816;Nordrhein-Westfalen
K0819;Nordrhein-Westfalen
K0826;Nordrhein-Westfalen
K0829;Nordrhein-Westfalen
K0831;Nordrhein-Westfalen
K0846;Nordrhein-Westfalen
K0858;Nordrhein-Westfalen
K0860;Nordrhein-Westfalen
K0863;Nordrhein-Westfalen
K0871;Nordrhein-Westfalen
K0876;Nordrhein-Westfalen
K0885;Nordrhein-Westfalen
K0906;Nordrhein-Westfalen
K0908;Nordrhein-Westfalen
K0910;Nordrhein-Westfalen
K0920;Nordrhein-Westfalen
K0926;Nordrhein-Westfalen
K0932;Nordrhein-Westfalen
K0942;Nordrhein-Westfalen
K0944;Nordrhein-Westfalen
K0947;Nordrhein-Westfalen
K0948;Nordrhein-Westfalen
K0951;Nordrhein-Westfalen
K0969;Nordrhein-Westfalen
K0972;Nordrhein-Westfalen
K0973;Nordrhein-Westfalen
K0977;Nordrhein-Westfalen
K0992;Nordrhein-Westfalen
K0995;Nordrhein-Westfalen
K1000;Nordrhein-Westfalen
K1006;Nordrhein-Westfalen
K1010;Nordrhein-Westfalen
K1012;Nordrhein-Westfalen
K1025;Nordrhein-Westfalen
K1032;Nordrhein-Westfalen
K1046;Nordrhein-Westfalen
K1051;Nordrhein-Westfalen
K1052;Nordrhein-Westfalen
K1057;Nordrhein-Westfalen
K1071;Nordrhein-Westfalen
K1078;Nordrhein-Westfalen
K1080;Nordrhein-Westfalen
K1081;Nordrhein-Westfalen
K1097;Nordrhein-Westfalen
K1109;Nordrhein-Westfalen
K1115;Nordrhein-Westfalen
K1116;Nordrhein-Westfalen
K1119;Nordrhein-Westfalen
K1120;Nordrhein-Westfalen
K1122;Nordrhein-Westfalen
K1124;Nordrhein-Westfalen
K1133;Nordrhein-Westfalen
K1136;Nordrhein-Westfalen
K1138;Nordrhein-Westfalen
K1143;Nordrhein-Westfalen
K1144;Nordrhein-Westfalen
K1147;Nordrhein-Westfalen
K1148;Nordrhein-Westfalen
K1158;Nordrhein-Westfalen
K1161;Nordrhein-Westfalen
K1166;Nordrhein-Westfalen
K1167;Nordrhein-Westfalen
K1172;Nordrhein-Westfalen
K1180;Nordrhein-Westfalen
K1181;Nordrhein-Westfalen
K1188;Nordrhein-Westfalen
K1198;Nordrhein-Westfalen
K1200;Nordrhein-Westfalen
K1214;Nordrhein-Westfalen
K1221;Nordrhein-Westfalen
K1224;Nordrhein-Westfalen
K1232;Nordrhein-Westfalen
K1240;Nordrhein-Westfalen
K1248;NRW
K1255;Nordrhein-Westfalen
K1259;Nordrhein-Westfalen
K1263;Nordrhein-Westfalen
K1267;Nordrhein-Westfalen
K1282;Nordrhein-Westfalen
K1296;Nordrhein-Westfalen
K1297;Nordrhein-Westfalen
K1302;Nordrhein-Westfalen
K1311;Nordrhein-Westfalen
K1333;Nordrhein-Westfalen
K1346;Nordrhein-Westfalen
K1348;Nordrhein-Westfalen
K1351;Nordrhein-Westfalen
K1356;Nordrhein-Westfalen
K1361;Nordrhein-Westfalen
K1367;Nordrhein-Westfalen
K1372;Nordrhein-Westfalen
K1376;Nordrhein-Westfalen
K1378;Nordrhein-Westfalen
K1380;Nordrhein-Westfalen
K1383;Nordrhein-Westfalen
K1390;Nordrhein-Westfalen
K1394;Nordrhein-Westfalen
K1399;Nordrhein-Westfalen
K1405;Nordrhein-Westfalen
K1412;Nordrhein-Westfalen
K1414;Nordrhein-Westfalen
K1422;Nordrhein-Westfalen
K1436;Nordrhein-Westfalen
K1442;Nordrhein-Westfalen
K1452;Nordrhein-Westfalen
K1457;Nordrhein-Westfalen
K1463;Nordrhein-Westfalen
K1467;Nordrhein-Westfalen
K1477;Nordrhein-Westfalen
K1487;Nordrhein-Westfalen
K1495;Nordrhein-Westfalen
K1497;Nordrhein-Westfalen
K1506;Nordrhein-Westfalen
K1511;Nordrhein-Westfalen
K1523;Nordrhein-Westfalen
K1530;Nordrhein-Westfalen
K1532;Nordrhein-Westfalen
K1537;Nordrhein-Westfalen
K1543;Nordrhein-Westfalen
K1545;Nordrhein-Westfalen
K1553;Nordrhein-Westfalen
K1558;Nordrhein-Westfalen
K1560;Nordrhein-Westfalen
K1569;Nordrhein-Westfalen
K1570;Nordrhein-Westfalen
K1574;Nordrhein-Westfalen
K1575;Nordrhein-Westfalen
K1577;Nordrhein-Westfalen
K1580;Nordrhein-Westfalen
K1582;Nordrhein-Westfalen
K1587;Nordrhein-Westfalen
K1592;Nordrhein-Westfalen
K1597;Nordrhein-Westfalen
K1606;Nordrhein-Westfalen
K1612;Nordrhein-Westfalen
K1613;Nordrhein-Westfalen
K1619;Nordrhein-Westfalen
K1621;Nordrhein-Westfalen
K1623;Nordrhein-Westfalen
K1633;Nordrhein-Westfalen
K1644;Nordrhein-Westfalen
K1659;Nordrhein-Westfalen
K1661;Nordrhein-Westfalen
K1667;Nordrhein-Westfalen
K1678;Nordrhein-Westfalen
K1681;Nordrhein-Westfalen
K1682;Nordrhein-Westfalen
K1685;Nordrhein-Westfalen
K1705;Nordrhein-Westfalen
K1710;Nordrhein-Westfalen
K1728;Nordrhein-Westfalen
K1739;Nordrhein-Westfalen
K1745;Nordrhein-Westfalen
K1762;Nordrhein-Westfalen
K1769;Nordrhein-Westfalen
K1770;Nordrhein-Westfalen
K1774;Nordrhein-Westfalen
K1775;Nordrhein-Westfalen
K1796;Nordrhein-Westfalen
K1801;Nordrhein-Westfalen
K1803;Nordrhein-Westfalen
K1804;Nordrhein-Westfalen
K1808;Nordrhein-Westfalen
K1813;Nordrhein-Westfalen
K1824;Nordrhein-Westfalen
K1836;Nordrhein-Westfalen
K1841;Nordrhein-Westfalen
K1842;Nordrhein-Westfalen
K1849;Nordrhein-Westfalen
K1850;Nordrhein-Westfalen
K1855;Nordrhein-Westfalen
K1865;Nordrhein-Westfalen
K1871;Nordrhein-Westfalen
K1876;Nordrhein-Westfalen
K1877;Nordrhein-Westfalen
K1880;Nordrhein-Westfalen
K1882;Nordrhein-Westfalen
K1892;Nordrhein-Westfalen
K1894;Nordrhein-Westfalen
K1897;Nordrhein-Westfalen
K1923;Nordrhein-Westfalen
K1924;Nordrhein-Westfalen
K1934;Nordrhein-Westfalen
K1937;Nordrhein-Westfalen
K1938;Nordrhein-Westfalen
K1943;Nordrhein-Westfalen
K1954;Nordrhein-Westfalen
K1961;Nordrhein-Westfalen
K1963;Nordrhein-Westfalen
K1967;Nordrhein-Westfalen
K1972;Nordrhein-Westfalen
K1973;Düsseldorf
K1979;Nordrhein-Westfalen
K1984;Nordrhein-Westfalen
K1987;NRW
K1993;Düsseldorf
